Concept number,Word,uniqueID
1,aardvark,aardvark
2,abacus,abacus
3,accordion,accordion
4,acorn,acorn
5,air conditioner,air_conditioner
6,air mattress,air_mattress
7,air pump,air_pump
8,airbag,airbag
9,airboat,airboat
10,aircraft carrier,aircraft_carrier
11,airplane,airplane
12,album,album
13,alligator,alligator
14,almond,almond
15,aloe,aloe
16,alpaca,alpaca
17,altar,altar
18,aluminum foil,aluminum_foil
19,amber,amber
20,ambulance,ambulance
21,amplifier,amplifier
22,anchor,anchor
23,ankle,ankle
24,anklet,anklet
25,ant,ant
26,anteater,anteater
27,antelope,antelope
28,antenna,antenna
29,anvil,anvil
30,appetizer,appetizer
31,apple,apple
32,apple tree,apple_tree
33,applesauce,applesauce
34,apron,apron
35,aquarium,aquarium
36,arch,arch
37,arm,arm
38,armor,armor
39,arrow,arrow
40,artichoke,artichoke
41,arugula,arugula
42,ashtray,ashtray
43,asparagus,asparagus
44,avocado,avocado
45,awning,awning
46,axe,axe
47,baby,baby
48,backdrop,backdrop
49,backgammon,backgammon
50,backpack,backpack
51,backscratcher,backscratcher
52,bacon,bacon
53,badge,badge
54,badger,badger
55,bag,bag
56,bagel,bagel
57,bagpipe,bagpipe
58,baklava,baklava
59,balance beam,balance_beam
60,ball,ball
61,balloon,balloon
62,ballot box,ballot_box
63,bamboo,bamboo
64,banana,banana
65,banana peel,banana_peel
66,banana split,banana_split
67,bandage,bandage
68,bandanna,bandanna
69,banjo,banjo
70,bank,bank
71,banner,banner
72,barbed wire,barbed_wire
73,barbell,barbell
74,barcode,barcode
75,bark,bark
76,barnacle,barnacle
77,barrel,barrel
78,barrette,barrette
79,baseball,baseball
80,baseball bat,baseball_bat
81,baseball glove,baseball_glove
82,basil,basil
83,basket,basket
84,basketball,basketball
85,basketball hoop,basketball_hoop
86,bassinet,bassinet
87,bassoon,bassoon
88,bat,bat1
89,bat,bat2
90,bathmat,bathmat
91,bathrobe,bathrobe
92,bathtub,bathtub
93,baton,baton1
94,baton,baton2
95,baton,baton3
96,baton,baton4
97,batter,batter
98,battery,battery
99,bazooka,bazooka
100,beachball,beachball
101,bead,bead
102,beaker,beaker
103,bean,bean
104,beanbag,beanbag
105,beanie,beanie
106,bear,bear
107,beard,beard
108,beaver,beaver
109,bed,bed
110,bedpan,bedpan
111,bedpost,bedpost
112,bee,bee
113,beehive,beehive
114,beer,beer
115,beet,beet
116,beetle,beetle
117,bell,bell
118,bell pepper,bell_pepper
119,belt,belt
120,belt buckle,belt_buckle
121,bench,bench
122,berry,berry
123,bib,bib
124,bike,bike
125,bikini,bikini
126,bin,bin
127,binder,binder
128,binoculars,binoculars
129,bird,bird
130,birdbath,birdbath
131,birdcage,birdcage
132,birdhouse,birdhouse
133,birthday cake,birthday_cake
134,biscuit,biscuit
135,bison,bison
136,blackberry,blackberry
137,blanket,blanket
138,blazer,blazer
139,blender,blender
140,blimp,blimp
141,blind,blind
142,blinder,blinder
143,blindfold,blindfold
144,block,block
145,blouse,blouse
146,blower,blower
147,blowfish,blowfish
148,blowgun,blowgun
149,blowtorch,blowtorch
150,blueberry,blueberry
151,boa,boa
152,boar,boar
153,board,board
154,board game,board_game
155,boat,boat
156,bobsled,bobsled
157,bok choy,bok_choy
158,bolo tie,bolo_tie
159,bologna,bologna
160,bolt,bolt
161,bomb,bomb
162,bone,bone
163,bongo,bongo
164,bonnet,bonnet
165,bonsai,bonsai
166,book,book
167,bookmark,bookmark
168,bookshelf,bookshelf
169,boomerang,boomerang
170,boot,boot
171,bottle,bottle
172,bottle opener,bottle_opener
173,boulder,boulder
174,bouquet,bouquet
175,bow,bow1
176,bow,bow2
177,bow,bow3
178,bowl,bowl
179,bowler hat,bowler_hat
180,bowling ball,bowling_ball
181,bowtie,bowtie
182,box,box
183,boxer shorts,boxer_shorts
184,boxing gloves,boxing_gloves
185,boy,boy
186,bra,bra
187,brace,brace
188,bracelet,bracelet1
189,bracelet,bracelet2
190,bracket,bracket
191,braid,braid
192,brake,brake
193,branch,branch
194,brass knuckles,brass_knuckles
195,bread,bread
196,breadbox,breadbox
197,breadstick,breadstick
198,breakfast,breakfast
199,breathalyzer,breathalyzer
200,brick,brick
201,briefcase,briefcase
202,broccoli,broccoli
203,brooch,brooch
204,broom,broom
205,brownie,brownie
206,brush,brush
207,brussels sprouts,brussels_sprouts
208,bubble,bubble
209,bubble wrap,bubble_wrap
210,bucket,bucket
211,buckle,buckle
212,buffet,buffet
213,bug,bug
214,buggy,buggy
215,bull,bull
216,bulldozer,bulldozer
217,bullet,bullet
218,bulletin board,bulletin_board
219,bulletproof vest,bulletproof_vest
220,bumper,bumper
221,bun,bun
222,bungee,bungee
223,bunkbed,bunkbed
224,buoy,buoy
225,burner,burner
226,burrito,burrito
227,bus,bus
228,bush,bush
229,butter,butter
230,butterfly,butterfly
231,button,button1
232,button,button2
233,cabbage,cabbage
234,cabinet,cabinet
235,cable,cable
236,cactus,cactus
237,cage,cage
238,cake,cake
239,cake mix,cake_mix
240,calamari,calamari
241,calculator,calculator
242,calf,calf1
243,calf,calf2
244,calzone,calzone
245,camcorder,camcorder
246,camel,camel
247,camera lens,camera_lens
248,camera,camera1
249,camera,camera2
250,camper,camper
251,can,can
252,can opener,can_opener
253,candelabra,candelabra
254,candle,candle
255,candlestick,candlestick
256,candy,candy
257,candy bar,candy_bar
258,candy cane,candy_cane
259,cane,cane
260,canister,canister
261,cannon,cannon
262,cannonball,cannonball
263,canoe,canoe
264,cantaloupe,cantaloupe
265,canvas,canvas
266,cap,cap
267,cape,cape
268,car,car
269,car door,car_door
270,car seat,car_seat
271,caramel,caramel
272,card,card
273,cardboard,cardboard
274,cardigan,cardigan
275,cardinal,cardinal
276,carousel,carousel
277,carriage,carriage
278,carrot,carrot
279,cart,cart
280,cash machine,cash_machine
281,cash register,cash_register
282,cashew,cashew
283,casserole,casserole
284,cassette,cassette
285,cat,cat
286,catapult,catapult
287,caterpillar,caterpillar
288,catfish,catfish
289,cauliflower,cauliflower
290,caviar,caviar
291,cd player,cd_player
292,celery,celery
293,cello,cello
294,cellphone,cellphone
295,cement mixer,cement_mixer
296,centerpiece,centerpiece
297,centrifuge,centrifuge
298,cereal,cereal
299,chain,chain
300,chainsaw,chainsaw
301,chair,chair
302,chalice,chalice
303,chalk,chalk
304,chalkboard,chalkboard
305,champagne,champagne
306,chandelier,chandelier
307,chaps,chaps
308,charcoal,charcoal
309,charger,charger
310,chariot,chariot
311,checkbook,checkbook
312,checkers,checkers
313,cheese,cheese
314,cheeseburger,cheeseburger
315,cheesecake,cheesecake
316,cheetah,cheetah
317,cherry,cherry
318,chess piece,chess_piece
319,chessboard,chessboard
320,chest,chest1
321,chest,chest2
322,chick,chick
323,chicken wire,chicken_wire
324,chicken,chicken1
325,chicken,chicken2
326,chickpea,chickpea
327,chihuahua,chihuahua
328,chili,chili
329,chime,chime
330,chimney,chimney
331,chin,chin
332,chinaware,chinaware
333,chinchilla,chinchilla
334,chip,chip
335,chipmunk,chipmunk
336,chips,chips
337,chisel,chisel
338,chive,chive
339,chocolate,chocolate
340,chopsticks,chopsticks
341,christmas card,christmas_card
342,christmas tree,christmas_tree
343,chute,chute
344,cigar,cigar
345,cigarette,cigarette
346,cigarette butt,cigarette_butt
347,cigarette holder,cigarette_holder
348,cilantro,cilantro
349,cinnamon,cinnamon
350,clam,clam
351,clarinet,clarinet
352,clasp,clasp
353,clay,clay
354,cleat,cleat
355,cleaver,cleaver
356,clipboard,clipboard
357,clipper,clipper1
358,clipper,clipper2
359,cloak,cloak
360,clock,clock
361,closet,closet
362,clothes,clothes
363,clothesline,clothesline
364,clothespin,clothespin
365,cloud,cloud
366,clove,clove
367,clover,clover
368,coal,coal
369,coaster,coaster
370,coat,coat
371,coat rack,coat_rack
372,cobra,cobra
373,cockatoo,cockatoo
374,cockroach,cockroach
375,cocktail,cocktail
376,coconut,coconut
377,cocoon,cocoon
378,coffee,coffee
379,coffee bean,coffee_bean
380,coffee filter,coffee_filter
381,coffee pot,coffee_pot
382,coffee table,coffee_table
383,coffeemaker,coffeemaker
384,coffin,coffin
385,coil,coil
386,coin,coin
387,coleslaw,coleslaw
388,collar,collar
389,column,column
390,comb,comb
391,combination lock,combination_lock
392,comic book,comic_book
393,compass,compass
394,compost,compost
395,computer,computer
396,computer screen,computer_screen
397,confetti,confetti
398,contact lens,contact_lens
399,container,container
400,cooker,cooker
401,cookie,cookie
402,cookie cutter,cookie_cutter
403,cookie sheet,cookie_sheet
404,cooler,cooler
405,coop,coop
406,copier,copier
407,coral,coral
408,cord,cord
409,cordon bleu,cordon_bleu
410,cork,cork
411,corkboard,corkboard
412,corkscrew,corkscrew
413,corn,corn
414,cornbread,cornbread
415,cornhusk,cornhusk
416,cornmeal,cornmeal
417,cornucopia,cornucopia
418,corsage,corsage
419,corset,corset
420,costume,costume
421,cot,cot
422,cotton candy,cotton_candy
423,couch,couch
424,cougar,cougar
425,counter,counter
426,coverall,coverall
427,cow,cow
428,coyote,coyote
429,crab,crab
430,cracker,cracker
431,cranberry,cranberry
432,crane,crane
433,crank,crank
434,crate,crate
435,crayfish,crayfish
436,crayon,crayon
437,cream,cream
438,cream cheese,cream_cheese
439,credit card,credit_card
440,creme brulee,creme_brulee
441,crepe,crepe
442,crib,crib
443,croissant,croissant
444,cross,cross
445,crossbow,crossbow
446,crouton,crouton
447,crow,crow
448,crowbar,crowbar
449,crown,crown
450,crucifix,crucifix
451,cruise ship,cruise_ship
452,crumb,crumb
453,crutch,crutch
454,crystal ball,crystal_ball
455,crystal,crystal1
456,crystal,crystal2
457,cuckoo clock,cuckoo_clock
458,cucumber,cucumber
459,cufflink,cufflink
460,cummerbund,cummerbund
461,cup,cup
462,cupcake,cupcake
463,curb,curb
464,curling iron,curling_iron
465,curry,curry
466,curtain,curtain
467,cushion,cushion
468,cutting board,cutting_board
469,cymbal,cymbal
470,dagger,dagger
471,daisy,daisy
472,dalmatian,dalmatian
473,dandelion,dandelion
474,dart,dart
475,dartboard,dartboard
476,dashboard,dashboard
477,deer,deer
478,defibrillator,defibrillator
479,denture,denture
480,deodorant,deodorant
481,desk,desk
482,dessert,dessert
483,detonator,detonator
484,dial,dial
485,diamond,diamond
486,diaper,diaper
487,dice,dice
488,dip,dip
489,dirt bike,dirt_bike
490,dish,dish
491,dishrag,dishrag
492,dishwasher,dishwasher
493,dishwashing liquid,dishwashing_liquid
494,diskette,diskette
495,diving board,diving_board
496,dog,dog
497,dogfood,dogfood
498,doghouse,doghouse
499,doily,doily
500,doll,doll
501,dollhouse,dollhouse
502,dolly,dolly
503,dolphin,dolphin
504,domino,domino
505,donkey,donkey
506,donut,donut
507,door,door
508,doorbell,doorbell
509,doorhandle,doorhandle
510,doorknob,doorknob
511,doorknocker,doorknocker
512,doormat,doormat
513,doorstop,doorstop
514,dough,dough
515,dragonfly,dragonfly
516,drain,drain
517,drawer,drawer
518,dreidel,dreidel
519,dress,dress
520,dresser,dresser
521,drill,drill
522,drink,drink
523,drum,drum
524,drumstick,drumstick
525,dryer,dryer
526,duck,duck
527,duckling,duckling
528,duct,duct
529,duct tape,duct_tape
530,duffel bag,duffel_bag
531,dumbbell,dumbbell
532,dumbwaiter,dumbwaiter
533,dumpling,dumpling
534,dumpster,dumpster
535,duster,duster
536,dustpan,dustpan
537,dynamite,dynamite
538,eagle,eagle
539,ear,ear
540,earplug,earplug
541,earring,earring
542,earwig,earwig
543,easel,easel
544,easter egg,easter_egg
545,eclair,eclair
546,eel,eel
547,egg,egg
548,egg roll,egg_roll
549,eggbeater,eggbeater
550,eggnog,eggnog
551,eggplant,eggplant
552,eggshell,eggshell
553,elbow,elbow
554,electric chair,electric_chair
555,elephant,elephant
556,emerald,emerald
557,enchilada,enchilada
558,engine,engine
559,envelope,envelope
560,eraser,eraser
561,espresso,espresso
562,exerciser,exerciser
563,exhaust pipe,exhaust_pipe
564,extinguisher,extinguisher
565,eye,eye
566,eye patch,eye_patch
567,eyedropper,eyedropper
568,eyeliner,eyeliner
569,eyepiece,eyepiece
570,face,face
571,face mask,face_mask
572,fan,fan
573,fast food,fast_food
574,faucet,faucet
575,feather,feather
576,fence,fence
577,fencepost,fencepost
578,fern,fern
579,ferret,ferret
580,ferris wheel,ferris_wheel
581,ferry,ferry
582,fig,fig
583,figurine,figurine
584,file,file1
585,file,file2
586,filing cabinet,filing_cabinet
587,film,film
588,filter,filter
589,finger,finger
590,fingerprint,fingerprint
591,fire,fire
592,fire alarm,fire_alarm
593,fire hydrant,fire_hydrant
594,fire pit,fire_pit
595,firecracker,firecracker
596,fireplace,fireplace
597,firetruck,firetruck
598,firewood,firewood
599,fireworks,fireworks
600,first-aid kit,first-aid_kit
601,fish,fish
602,fishbowl,fishbowl
603,fishhook,fishhook
604,fishing pole,fishing_pole
605,fishnet stockings,fishnet_stockings
606,flag,flag
607,flagpole,flagpole
608,flamethrower,flamethrower
609,flamingo,flamingo
610,flan,flan
611,flashbulb,flashbulb
612,flashlight,flashlight
613,flask,flask
614,flatiron,flatiron
615,flip-flop,flip_flop
616,flipper,flipper
617,float,float
618,floss,floss
619,flour,flour
620,flower,flower
621,flute,flute
622,fly,fly
623,flypaper,flypaper
624,flyswatter,flyswatter
625,foam,foam
626,folder,folder
627,fondue,fondue
628,food processor,food_processor
629,foot,foot
630,football,football
631,football helmet,football_helmet
632,footbath,footbath
633,footprint,footprint
634,footrest,footrest
635,fork,fork
636,forklift,forklift
637,fossil,fossil
638,fountain pen,fountain_pen
639,fox,fox
640,frame,frame
641,freezer,freezer
642,french fries,french_fries
643,french horn,french_horn
644,frisbee,frisbee
645,frog,frog
646,fruit,fruit
647,fruitcake,fruitcake
648,fudge,fudge
649,fungus,fungus
650,funnel,funnel
651,fur coat,fur_coat
652,furnace,furnace
653,fuse,fuse
654,gallows,gallows
655,game,game
656,garbage,garbage
657,garbage truck,garbage_truck
658,gargoyle,gargoyle
659,garlic,garlic
660,garter,garter
661,gas mask,gas_mask
662,gasket,gasket
663,gate,gate
664,gauge,gauge
665,gauze,gauze
666,gavel,gavel
667,gazelle,gazelle
668,gear,gear
669,gearshift,gearshift
670,gel,gel
671,gem,gem
672,generator,generator
673,gift,gift
674,ginger,ginger
675,gingerbread man,gingerbread_man
676,giraffe,giraffe
677,girl,girl
678,glass,glass
679,glasses,glasses
680,globe,globe
681,glove,glove
682,glue,glue
683,go-kart,go-kart
684,goalpost,goalpost
685,goat,goat
686,goblet,goblet
687,goggles,goggles
688,gold,gold
689,goldfish,goldfish
690,golf cart,golf_cart
691,golf club,golf_club
692,gondola,gondola
693,gong,gong
694,goose,goose
695,gopher,gopher
696,gorilla,gorilla
697,gourd,gourd
698,graffiti,graffiti
699,grain,grain
700,gramophone,gramophone
701,granite,granite
702,granola,granola
703,grape,grape
704,grapefruit,grapefruit
705,grapevine,grapevine
706,grass,grass
707,grasshopper,grasshopper
708,grate,grate
709,grater,grater
710,gravel,gravel
711,gravestone,gravestone
712,gravy,gravy
713,green beans,green_beans
714,grenade,grenade
715,grill,grill
716,grille,grille
717,grinder,grinder
718,grits,grits
719,groundhog,groundhog
720,guacamole,guacamole
721,guardrail,guardrail
722,guillotine,guillotine
723,guinea pig,guinea_pig
724,guitar,guitar
725,gum,gum
726,gumball,gumball
727,gumdrop,gumdrop
728,gun,gun
729,gurney,gurney
730,gutter,gutter
731,gyro,gyro
732,gyroscope,gyroscope
733,hail,hail
734,hair,hair
735,hairbrush,hairbrush
736,hairdryer,hairdryer
737,hairnet,hairnet
738,hairpin,hairpin
739,hairspray,hairspray
740,ham,ham
741,hamburger,hamburger
742,hammer,hammer
743,hammock,hammock
744,hamster,hamster
745,hand,hand
746,handbrake,handbrake
747,handcuff,handcuff
748,handkerchief,handkerchief
749,handle,handle
750,handlebar,handlebar
751,handprint,handprint
752,hanger,hanger
753,hard disk,hard_disk
754,harmonica,harmonica
755,harness,harness
756,harp,harp
757,hash,hash
758,hat,hat
759,hatbox,hatbox
760,hatchet,hatchet
761,hawk,hawk
762,hay,hay
763,headband,headband
764,headdress,headdress
765,headlamp,headlamp
766,headlight,headlight
767,headphones,headphones
768,headrest,headrest
769,headscarf,headscarf
770,headset,headset
771,hearing aid,hearing_aid
772,hearse,hearse
773,heater,heater
774,hedge,hedge
775,hedgehog,hedgehog
776,helicopter,helicopter
777,helmet,helmet
778,highchair,highchair
779,highlighter,highlighter
780,hinge,hinge
781,hip,hip
782,hippopotamus,hippopotamus
783,hobbyhorse,hobbyhorse
784,hockey stick,hockey_stick
785,hoe,hoe
786,hole,hole
787,holster,holster
788,home plate,home_plate
789,honey,honey
790,honeycomb,honeycomb
791,honeypot,honeypot
792,hood,hood
793,hoodie,hoodie
794,hook,hook1
795,hook,hook2
796,hookah,hookah
797,hopscotch,hopscotch
798,horn,horn
799,horse,horse
800,horseshoe,horseshoe
801,hose,hose
802,hot chocolate,hot_chocolate
803,hot tub,hot_tub
804,hot-air balloon,hot-air_balloon
805,hot-water bottle,hot-water_bottle
806,hotdog,hotdog
807,hotplate,hotplate
808,hourglass,hourglass
809,hovercraft,hovercraft
810,hubcap,hubcap
811,hula hoop,hula_hoop
812,hummingbird,hummingbird
813,hummus,hummus
814,humvee,humvee
815,hydrant,hydrant
816,hyena,hyena
817,ice,ice
818,ice cream,ice_cream
819,ice cube,ice_cube
820,ice pack,ice_pack
821,ice-cream cone,ice-cream_cone
822,icemaker,icemaker
823,icepick,icepick
824,iceskate,iceskate
825,icicle,icicle
826,iguana,iguana
827,incense,incense
828,incubator,incubator
829,inhaler,inhaler
830,ink,ink
831,inkwell,inkwell
832,insole,insole
833,iron,iron
834,ironing board,ironing_board
835,ivy,ivy
836,jack,jack
837,jacket,jacket
838,jackhammer,jackhammer
839,jalapeno,jalapeno
840,jam,jam
841,jar,jar
842,javelin,javelin
843,jeans,jeans
844,jeep,jeep
845,jelly bean,jelly_bean
846,jellyfish,jellyfish
847,jersey,jersey
848,jet,jet
849,jetski,jetski
850,jewel,jewel
851,jewelry,jewelry
852,jigsaw puzzle,jigsaw_puzzle
853,joystick,joystick
854,jug,jug
855,juice,juice
856,juicer,juicer1
857,juicer,juicer2
858,jukebox,jukebox
859,jump rope,jump_rope
860,jumpsuit,jumpsuit
861,kale,kale
862,kaleidoscope,kaleidoscope
863,kangaroo,kangaroo
864,kayak,kayak
865,kazoo,kazoo
866,kebab,kebab
867,keg,keg
868,ketchup,ketchup
869,kettle,kettle
870,key,key
871,keyboard,keyboard
872,keyhole,keyhole
873,kilt,kilt
874,kimono,kimono
875,kite,kite
876,kitten,kitten
877,kiwi,kiwi
878,knee,knee
879,kneepad,kneepad
880,knife,knife
881,knitting,knitting
882,knitting needle,knitting_needle
883,knob,knob
884,knot,knot
885,koala,koala
886,lab coat,lab_coat
887,ladder,ladder
888,ladle,ladle
889,ladybug,ladybug
890,lamb,lamb
891,lamb chop,lamb_chop
892,lamp,lamp
893,lamppost,lamppost
894,lampshade,lampshade
895,landmine,landmine
896,lantern,lantern
897,lanyard,lanyard
898,laptop,laptop
899,lasagna,lasagna
900,laser pointer,laser_pointer
901,latch,latch
902,latte,latte
903,laundry basket,laundry_basket
904,lava,lava
905,lavender,lavender
906,lawnmower,lawnmower
907,leaf,leaf
908,leash,leash
909,lectern,lectern
910,leech,leech
911,leek,leek
912,leg,leg
913,leggings,leggings
914,lego,lego
915,lemon,lemon
916,lemonade,lemonade
917,lens,lens
918,leopard,leopard
919,leotard,leotard
920,letter opener,letter_opener
921,lettuce,lettuce
922,license plate,license_plate
923,licorice,licorice
924,lid,lid
925,life jacket,life_jacket
926,lifesaver,lifesaver
927,light switch,light_switch
928,lightbulb,lightbulb
929,lighter,lighter
930,lightning bug,lightning_bug
931,lime,lime
932,limousine,limousine
933,lingerie,lingerie
934,lion,lion
935,lip balm,lip_balm
936,lip gloss,lip_gloss
937,lipstick,lipstick
938,lizard,lizard
939,llama,llama
940,lobster,lobster
941,lock,lock
942,locker,locker
943,locket,locket
944,log,log
945,loincloth,loincloth
946,lollipop,lollipop
947,loom,loom
948,loveseat,loveseat
949,luggage,luggage
950,lumber,lumber
951,lunchbox,lunchbox
952,macadamia,macadamia
953,macaroni,macaroni
954,machete,machete
